year,exporter,importer,index,longitude,latitude
2021,TUR,KOR,88,122.875214,30.181935
2021,TUR,KOR,89,122.878907,30.349364
2021,TUR,KOR,90,122.891141,30.901897
2021,TUR,KOR,91,122.9,31.3
2021,TUR,KOR,92,125.34383,32.983736
2021,TUR,KOR,93,126.035156,33.45436
2021,TUR,KOR,94,126.643151,33.735423
2021,TUR,KOR,95,127.444583,34.104419
2021,TUR,KOR,96,128.16925,34.40691
2021,TUR,KOR,97,128.916321,34.761923
2021,TUR,KOR,98,129.2,35.0
2021,ZAF,NLD,0,31.173706,-29.816817
2021,ZAF,NLD,1,28.5,-33.5
2021,ZAF,NLD,2,26.0,-34.5
2021,ZAF,NLD,3,22.0,-35.0
2021,ZAF,NLD,4,18.0,-35.0
2021,ZAF,NLD,5,12.499733,-28.1252
2021,ZAF,NLD,6,10.425227,-25.53227
2021,ZAF,NLD,7,7.89386,-22.368307
2021,ZAF,NLD,8,5.653262,-19.567777
2021,ZAF,NLD,9,3.542734,-16.929822
2021,ZAF,NLD,10,1.7833,-14.7307
2021,ZAF,NLD,11,0.000405,-12.501846
2021,ZAF,NLD,12,-1.100476,-11.1256
2021,ZAF,NLD,13,-1.989182,-10.0146
2021,ZAF,NLD,14,-5.531121,-5.586708
2021,ZAF,NLD,15,-10.0,-2e-05
2021,ZAF,NLD,16,-13.4277,5.5302
2021,ZAF,NLD,17,-17.0,11.0
2021,ZAF,NLD,18,-18.0,15.0
2021,ZAF,NLD,19,-18.0,21.0
2021,ZAF,NLD,20,-15.128174,27.999252
2021,ZAF,NLD,21,-15.145809,28.538331
2021,ZAF,NLD,22,-15.172119,29.337503
2021,ZAF,NLD,23,-13.9051,32.4093
2021,ZAF,NLD,24,-13.32875,34.065242
2021,ZAF,NLD,25,-13.114888,34.6797
2021,ZAF,NLD,26,-12.839781,35.470126
2021,ZAF,NLD,27,-12.761203,35.695892
2021,ZAF,NLD,28,-12.608538,36.134522
2021,ZAF,NLD,29,-12.493983,36.463656
2021,ZAF,NLD,30,-12.32612,36.945951
2021,ZAF,NLD,31,-12.262448,37.128892
2021,ZAF,NLD,32,-12.131862,37.504085
2021,ZAF,NLD,33,-12.057515,37.717697
2021,ZAF,NLD,34,-11.81009,38.428587
2021,ZAF,NLD,35,-11.664545,38.84676
2021,ZAF,NLD,36,-11.158374,40.301066
2021,ZAF,NLD,37,-11.070622,40.553191
2021,ZAF,NLD,38,-10.289669,42.796988
2021,ZAF,NLD,39,-10.167909,43.146826
2021,ZAF,NLD,40,-10.063992,43.402334
2021,ZAF,NLD,41,-7.987368,45.91425
2021,ZAF,NLD,42,-6.698867,47.340067
2021,ZAF,NLD,43,-5.5,48.6667
2021,ZAF,NLD,44,-5.06401,48.799916
2021,ZAF,NLD,45,-4.270518,49.042365
2021,ZAF,NLD,46,-4.030414,49.115729
2021,ZAF,NLD,47,-3.986163,49.129249
2021,ZAF,NLD,48,-3.197043,49.370363
2021,ZAF,NLD,49,-2.39189,49.616376
2021,ZAF,NLD,50,-1.992006,49.738559
2021,ZAF,NLD,51,-1.93365,49.75639
2021,ZAF,NLD,52,-1.665743,49.838248
2021,ZAF,NLD,53,-1.47977,49.895072
2021,ZAF,NLD,54,-1.3,49.95
2021,ZAF,NLD,55,-0.671539,50.155459
2021,ZAF,NLD,56,-0.545959,50.196513
2021,ZAF,NLD,57,-0.343359,50.262748
2021,ZAF,NLD,58,0.39288,50.503441
2021,ZAF,NLD,59,1.193894,50.765311
2021,ZAF,NLD,60,1.3,50.8
2021,ZAF,NLD,61,1.441366,50.849032
